customer_id,triggered_rules,total_score,escalation_band,hard_alert_flag
C102033,R02_LOW|R03_HIGH|R04|R10|R11|R15|R17|R18|R19|R20|R21,17,Tier 1 — Hard alert,True
C101542,R03_HIGH|R04|R05_TOR|R11|R15|R17|R19|R20|R21,17,Tier 1 — Hard alert,True
C101225,R01|R02_LOW|R03_HIGH|R04|R10|R11|R17|R19|R20,17,Tier 1 — SAR immediate,False
C101015,R02_LOW|R03_LOW|R04|R05_TOR|R11|R14|R17|R18|R19|R20,17,Tier 1 — SAR immediate,False
C102154,R02_LOW|R03_HIGH|R04|R05_TOR|R10|R11|R17|R19|R20,17,Tier 1 — SAR immediate,False
C100359,R02_LOW|R03_HIGH|R04|R05_TOR|R10|R11|R17|R19|R20,17,Tier 1 — SAR immediate,False
C101320,R02_LOW|R03_LOW|R04|R05_TOR|R09|R10|R11|R19|R20,17,Tier 1 — SAR immediate,False
C100611,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R15|R17|R19|R20,17,Tier 1 — SAR immediate,False
C102221,R02_LOW|R03_HIGH|R04|R05_TOR|R06|R11|R19|R20,17,Tier 1 — SAR immediate,False
C100325,R02_LOW|R03_LOW|R04|R05_VPN|R07|R11|R15|R17|R19|R20,17,Tier 1 — SAR immediate,False
C102285,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R15|R17|R19|R20,17,Tier 1 — SAR immediate,False
C102053,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R15|R17|R19|R20,17,Tier 1 — SAR immediate,False
C100618,R03_HIGH|R04|R05_TOR|R11|R15|R17|R19|R20,17,Tier 1 — SAR immediate,False
C100319,R03_HIGH|R04|R05_TOR|R11|R15|R17|R19|R20,17,Tier 1 — SAR immediate,False
C101856,R03_HIGH|R04|R05_TOR|R06|R11|R17|R19|R20,17,Tier 1 — SAR immediate,False
C101830,R03_HIGH|R04|R05_VPN|R09|R10|R11|R19|R20,17,Tier 1 — SAR immediate,False
C100312,R03_HIGH|R04|R05_TOR|R11|R15|R17|R19|R20,17,Tier 1 — SAR immediate,False
C100786,R03_HIGH|R04|R05_TOR|R06|R11|R14|R17|R20,17,Tier 1 — SAR immediate,False
C101886,R03_HIGH|R04|R05_TOR|R06|R11|R17|R19|R20,17,Tier 1 — SAR immediate,False
C101341,R03_HIGH|R04|R05_TOR|R11|R15|R17|R19|R20,17,Tier 1 — SAR immediate,False
C100196,R03_LOW|R04|R05_TOR|R07|R10|R11|R15|R19|R20,17,Tier 1 — SAR immediate,False
C100772,R03_LOW|R04|R05_TOR|R06|R11|R14|R17|R19|R20,17,Tier 1 — SAR immediate,False
C100308,R03_LOW|R04|R05_TOR|R09|R10|R11|R17|R19|R20,17,Tier 1 — SAR immediate,False
C102044,R03_LOW|R04|R05_VPN|R07|R11|R15|R17|R18|R19|R20,17,Tier 1 — SAR immediate,False
C101957,R03_LOW|R04|R05_TOR|R09|R10|R11|R17|R19|R20,17,Tier 1 — SAR immediate,False
C101240,R03_LOW|R04|R05_VPN|R06|R11|R15|R17|R18|R19|R20,17,Tier 1 — SAR immediate,False
C101647,R02_LOW|R03_HIGH|R05_VPN|R06|R11|R15|R17|R19|R20|R21,16,Tier 1 — Hard alert,True
C100963,R02_LOW|R03_LOW|R04|R07|R09|R10|R11|R19|R20|R21,16,Tier 1 — Hard alert,True
C101564,R02_LOW|R03_LOW|R04|R05_TOR|R07|R11|R17|R19|R20|R21,16,Tier 1 — Hard alert,True
C100299,R02_LOW|R03_HIGH|R04|R11|R15|R17|R18|R19|R20|R21,16,Tier 1 — Hard alert,True
C100208,R03_HIGH|R04|R05_TOR|R06|R10|R11|R17|R20|R21,16,Tier 1 — Hard alert,True
C102459,R03_HIGH|R04|R05_VPN|R11|R15|R17|R19|R20|R21,16,Tier 1 — Hard alert,True
C101588,R03_HIGH|R04|R05_TOR|R06|R11|R19|R20|R21,16,Tier 1 — Hard alert,True
C102204,R03_LOW|R04|R05_TOR|R07|R10|R11|R15|R17|R20|R21,16,Tier 1 — Hard alert,True
C102023,R01|R03_HIGH|R04|R10|R11|R18|R19|R20,16,Tier 1 — SAR immediate,False
C101919,R02_LOW|R03_HIGH|R05_TOR|R09|R10|R11|R15|R20,16,Tier 1 — SAR immediate,False
C102218,R02_LOW|R03_LOW|R04|R05_VPN|R06|R11|R15|R19|R20,16,Tier 1 — SAR immediate,False
C100118,R02_LOW|R03_HIGH|R09|R10|R11|R15|R17|R19|R20,16,Tier 1 — SAR immediate,False
C100987,R02_LOW|R03_LOW|R04|R10|R11|R14|R15|R17|R19|R20,16,Tier 1 — SAR immediate,False
C102334,R02_LOW|R03_LOW|R04|R05_TOR|R11|R15|R17|R19|R20,16,Tier 1 — SAR immediate,False
C101773,R02_LOW|R03_LOW|R04|R05_VPN|R09|R10|R11|R19|R20,16,Tier 1 — SAR immediate,False
C102130,R02_LOW|R03_HIGH|R04|R05_VPN|R07|R11|R17|R18|R20,16,Tier 1 — SAR immediate,False
C100177,R02_LOW|R03_HIGH|R05_VPN|R06|R11|R15|R17|R19|R20,16,Tier 1 — SAR immediate,False
C101933,R02_LOW|R03_HIGH|R04|R06|R11|R14|R19|R20,16,Tier 1 — SAR immediate,False
C100940,R02_LOW|R03_HIGH|R05_VPN|R06|R10|R11|R15|R19|R20,16,Tier 1 — SAR immediate,False
C101623,R02_LOW|R03_LOW|R04|R05_VPN|R10|R11|R15|R17|R19|R20,16,Tier 1 — SAR immediate,False
C101937,R02_LOW|R03_HIGH|R04|R06|R11|R14|R19|R20,16,Tier 1 — SAR immediate,False
C100370,R02_LOW|R03_HIGH|R04|R05_VPN|R10|R11|R17|R19|R20,16,Tier 1 — SAR immediate,False
C102276,R02_LOW|R03_LOW|R04|R05_TOR|R07|R11|R17|R19|R20,16,Tier 1 — SAR immediate,False
C100047,R02_LOW|R03_HIGH|R04|R05_TOR|R11|R17|R19|R20,16,Tier 1 — SAR immediate,False
C101657,R02_LOW|R03_LOW|R04|R05_TOR|R11|R15|R17|R19|R20,16,Tier 1 — SAR immediate,False
C102444,R02_LOW|R03_HIGH|R04|R11|R15|R17|R18|R19|R20,16,Tier 1 — SAR immediate,False
C100885,R02_LOW|R03_HIGH|R04|R05_TOR|R11|R17|R19|R20,16,Tier 1 — SAR immediate,False
C101835,R02_LOW|R03_LOW|R04|R05_VPN|R11|R15|R17|R18|R19|R20,16,Tier 1 — SAR immediate,False
C100185,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R17|R18|R19|R20,16,Tier 1 — SAR immediate,False
C100653,R02_LOW|R03_HIGH|R04|R05_TOR|R10|R11|R19|R20,16,Tier 1 — SAR immediate,False
C101283,R02_LOW|R03_HIGH|R04|R09|R10|R11|R19|R20,16,Tier 1 — SAR immediate,False
C101411,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R17|R18|R19|R20,16,Tier 1 — SAR immediate,False
C101432,R02_LOW|R03_HIGH|R04|R05_TOR|R11|R17|R19|R20,16,Tier 1 — SAR immediate,False
C101166,R02_LOW|R03_HIGH|R04|R09|R10|R11|R19|R20,16,Tier 1 — SAR immediate,False
C100604,R02_LOW|R03_LOW|R04|R05_TOR|R11|R15|R17|R19|R20,16,Tier 1 — SAR immediate,False
C101443,R02_LOW|R04|R05_VPN|R06|R11|R15|R17|R19|R20,16,Tier 1 — SAR immediate,False
C102398,R02_LOW|R03_HIGH|R04|R05_TOR|R10|R11|R15|R20,16,Tier 1 — SAR immediate,False
C100997,R03_HIGH|R04|R05_VPN|R11|R15|R17|R19|R20,16,Tier 1 — SAR immediate,False
C101897,R03_HIGH|R04|R05_VPN|R11|R15|R18|R19|R20,16,Tier 1 — SAR immediate,False
C101011,R03_HIGH|R04|R05_TOR|R11|R17|R18|R19|R20,16,Tier 1 — SAR immediate,False
C102198,R03_HIGH|R04|R09|R10|R11|R17|R19|R20,16,Tier 1 — SAR immediate,False
C100547,R03_HIGH|R05_TOR|R09|R10|R11|R17|R19|R20,16,Tier 1 — SAR immediate,False
C100842,R03_HIGH|R04|R05_VPN|R06|R11|R17|R19|R20,16,Tier 1 — SAR immediate,False
C100044,R03_HIGH|R04|R05_TOR|R11|R15|R19|R20,16,Tier 1 — SAR immediate,False
C100014,R03_HIGH|R04|R05_VPN|R06|R11|R17|R19|R20,16,Tier 1 — SAR immediate,False
C100902,R03_HIGH|R04|R05_TOR|R11|R17|R18|R19|R20,16,Tier 1 — SAR immediate,False
C101629,R03_HIGH|R04|R05_TOR|R10|R11|R17|R19|R20,16,Tier 1 — SAR immediate,False
C100714,R03_HIGH|R04|R05_VPN|R11|R14|R17|R19|R20,16,Tier 1 — SAR immediate,False
C100847,R03_HIGH|R04|R05_VPN|R11|R15|R17|R19|R20,16,Tier 1 — SAR immediate,False
C102029,R03_HIGH|R04|R05_VPN|R06|R10|R11|R19|R20,16,Tier 1 — SAR immediate,False
C100057,R03_HIGH|R05_TOR|R06|R11|R15|R17|R19|R20,16,Tier 1 — SAR immediate,False
C101902,R03_HIGH|R04|R05_TOR|R06|R11|R19|R20,16,Tier 1 — SAR immediate,False
C102495,R03_HIGH|R04|R05_VPN|R07|R10|R11|R19|R20,16,Tier 1 — SAR immediate,False
C100388,R03_HIGH|R04|R05_VPN|R11|R15|R17|R19|R20,16,Tier 1 — SAR immediate,False
C100246,R03_HIGH|R04|R05_TOR|R11|R17|R18|R19|R20,16,Tier 1 — SAR immediate,False
C100994,R03_HIGH|R04|R05_VPN|R06|R11|R17|R19|R20,16,Tier 1 — SAR immediate,False
C101637,R03_HIGH|R04|R05_VPN|R07|R11|R18|R19|R20,16,Tier 1 — SAR immediate,False
C101018,R03_HIGH|R04|R07|R11|R15|R17|R19|R20,16,Tier 1 — SAR immediate,False
C100408,R03_HIGH|R04|R05_VPN|R07|R11|R17|R19|R20,16,Tier 1 — SAR immediate,False
C101770,R03_LOW|R04|R05_VPN|R06|R11|R15|R17|R19|R20,16,Tier 1 — SAR immediate,False
C101106,R03_LOW|R04|R05_TOR|R11|R15|R17|R18|R19|R20,16,Tier 1 — SAR immediate,False
C101038,R03_LOW|R04|R05_TOR|R06|R10|R11|R17|R19|R20,16,Tier 1 — SAR immediate,False
C101941,R04|R05_TOR|R09|R10|R11|R17|R19|R20,16,Tier 1 — SAR immediate,False
C101028,R04|R05_VPN|R08|R09|R10|R11|R18|R19|R20,15,Tier 1 — Hard alert,True
C100091,R02_LOW|R03_HIGH|R04|R06|R08|R11|R17|R19|R20|R21,15,Tier 1 — Hard alert,True
C101848,R01|R03_HIGH|R04|R11|R17|R19|R20|R21,15,Tier 1 — Hard alert,True
C100880,R02_HIGH|R03_HIGH|R05_TOR|R11|R17|R19|R20|R21,15,Tier 1 — Hard alert,True
C102360,R02_HIGH|R03_HIGH|R04|R11|R17|R19|R20|R21,15,Tier 1 — Hard alert,True
C101775,R02_LOW|R05_VPN|R06|R09|R10|R11|R17|R19|R20|R21,15,Tier 1 — Hard alert,True
C101669,R02_LOW|R03_HIGH|R05_TOR|R11|R15|R17|R19|R20|R21,15,Tier 1 — Hard alert,True
C102458,R02_LOW|R03_HIGH|R04|R05_TOR|R06|R11|R20|R21,15,Tier 1 — Hard alert,True
C102274,R02_LOW|R03_LOW|R04|R05_VPN|R11|R15|R17|R19|R20|R21,15,Tier 1 — Hard alert,True
C100558,R02_LOW|R03_HIGH|R04|R11|R15|R17|R19|R20|R21,15,Tier 1 — Hard alert,True
C100492,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R17|R19|R20|R21,15,Tier 1 — Hard alert,True
C102402,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R14|R17|R20|R21,15,Tier 1 — Hard alert,True
C102057,R03_HIGH|R04|R05_TOR|R11|R17|R19|R20|R21,15,Tier 1 — Hard alert,True
C100097,R03_HIGH|R04|R05_TOR|R11|R17|R19|R20|R21,15,Tier 1 — Hard alert,True
C100290,R03_HIGH|R04|R05_TOR|R11|R17|R19|R20|R21,15,Tier 1 — Hard alert,True
C100182,R03_LOW|R04|R11|R14|R15|R17|R18|R19|R20|R21,15,Tier 1 — Hard alert,True
C100913,R03_LOW|R04|R05_VPN|R07|R11|R17|R18|R19|R20|R21,15,Tier 1 — Hard alert,True
C102474,R04|R05_VPN|R06|R11|R15|R17|R19|R20|R21,15,Tier 1 — Hard alert,True
C100866,R02_HIGH|R04|R05_TOR|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101854,R02_HIGH|R03_HIGH|R04|R11|R15|R17|R20,15,Tier 1 — SAR immediate,False
C102227,R02_HIGH|R03_HIGH|R04|R07|R11|R17|R20,15,Tier 1 — SAR immediate,False
C101534,R02_HIGH|R03_HIGH|R04|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101222,R02_LOW|R03_LOW|R05_TOR|R06|R11|R15|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101198,R02_LOW|R03_HIGH|R04|R11|R15|R17|R19|R20,15,Tier 1 — SAR immediate,False
C100366,R02_LOW|R03_HIGH|R04|R11|R15|R17|R19|R20,15,Tier 1 — SAR immediate,False
C100955,R02_LOW|R03_HIGH|R04|R11|R15|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101654,R02_LOW|R04|R05_VPN|R10|R11|R14|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101003,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101956,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C102356,R02_LOW|R03_LOW|R04|R05_VPN|R07|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C102003,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C102087,R02_LOW|R03_LOW|R04|R09|R10|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101164,R02_LOW|R03_LOW|R04|R05_TOR|R06|R11|R19|R20,15,Tier 1 — SAR immediate,False
C102017,R02_LOW|R03_LOW|R04|R05_TOR|R10|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101817,R02_LOW|R03_LOW|R04|R05_VPN|R11|R15|R17|R19|R20,15,Tier 1 — SAR immediate,False
C100650,R02_LOW|R03_HIGH|R04|R05_TOR|R11|R19|R20,15,Tier 1 — SAR immediate,False
C101145,R02_LOW|R04|R05_TOR|R07|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C102364,R02_LOW|R03_HIGH|R04|R05_TOR|R11|R19|R20,15,Tier 1 — SAR immediate,False
C100383,R02_LOW|R03_LOW|R04|R05_TOR|R11|R15|R19|R20,15,Tier 1 — SAR immediate,False
C100969,R02_LOW|R03_LOW|R04|R05_VPN|R11|R15|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101266,R02_LOW|R03_HIGH|R04|R11|R15|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101579,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101061,R02_LOW|R03_HIGH|R04|R11|R15|R18|R19|R20,15,Tier 1 — SAR immediate,False
C100797,R02_LOW|R03_LOW|R04|R07|R11|R15|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101646,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101460,R02_LOW|R03_HIGH|R05_VPN|R11|R15|R17|R18|R19|R20,15,Tier 1 — SAR immediate,False
C100624,R02_LOW|R03_HIGH|R04|R11|R15|R17|R19|R20,15,Tier 1 — SAR immediate,False
C100278,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101913,R02_LOW|R03_HIGH|R04|R05_TOR|R11|R19|R20,15,Tier 1 — SAR immediate,False
C102408,R02_LOW|R03_LOW|R04|R05_VPN|R11|R15|R17|R19|R20,15,Tier 1 — SAR immediate,False
C100136,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C100815,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101022,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C100117,R03_HIGH|R04|R05_TOR|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C100244,R03_HIGH|R04|R05_TOR|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101518,R03_HIGH|R04|R09|R10|R11|R19|R20,15,Tier 1 — SAR immediate,False
C101065,R03_HIGH|R04|R06|R11|R17|R18|R19|R20,15,Tier 1 — SAR immediate,False
C101136,R03_HIGH|R04|R05_TOR|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101054,R03_HIGH|R04|R09|R10|R11|R19|R20,15,Tier 1 — SAR immediate,False
C101532,R03_HIGH|R05_VPN|R06|R11|R15|R17|R19|R20,15,Tier 1 — SAR immediate,False
C102004,R03_HIGH|R04|R06|R10|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C100610,R03_HIGH|R04|R05_TOR|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101029,R03_HIGH|R04|R05_TOR|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101502,R03_HIGH|R04|R10|R11|R15|R17|R19|R20,15,Tier 1 — SAR immediate,False
C102496,R03_HIGH|R04|R05_TOR|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C100808,R03_HIGH|R05_VPN|R11|R14|R15|R18|R19|R20,15,Tier 1 — SAR immediate,False
C102225,R03_HIGH|R04|R09|R10|R11|R19|R20,15,Tier 1 — SAR immediate,False
C102234,R03_HIGH|R04|R10|R11|R15|R17|R19|R20,15,Tier 1 — SAR immediate,False
C100630,R03_HIGH|R04|R06|R10|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C100080,R03_HIGH|R04|R05_TOR|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C100328,R03_HIGH|R04|R05_VPN|R10|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C100526,R03_HIGH|R04|R05_TOR|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C100262,R03_HIGH|R04|R05_VPN|R11|R17|R18|R19|R20,15,Tier 1 — SAR immediate,False
C100853,R03_HIGH|R05_TOR|R06|R11|R15|R19|R20,15,Tier 1 — SAR immediate,False
C100589,R03_HIGH|R04|R05_VPN|R10|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C100467,R03_LOW|R04|R05_TOR|R11|R15|R17|R19|R20,15,Tier 1 — SAR immediate,False
C100886,R03_LOW|R04|R05_VPN|R10|R11|R14|R17|R19|R20,15,Tier 1 — SAR immediate,False
C100506,R03_LOW|R04|R09|R10|R11|R15|R19|R20,15,Tier 1 — SAR immediate,False
C101829,R03_LOW|R04|R05_TOR|R10|R11|R17|R18|R19|R20,15,Tier 1 — SAR immediate,False
C101126,R03_LOW|R05_VPN|R09|R10|R11|R15|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101777,R04|R05_TOR|R09|R10|R11|R19|R20,15,Tier 1 — SAR immediate,False
C100984,R04|R05_TOR|R09|R10|R11|R19|R20,15,Tier 1 — SAR immediate,False
C100907,R04|R05_TOR|R07|R10|R11|R17|R19|R20,15,Tier 1 — SAR immediate,False
C101086,R05_TOR|R06|R07|R10|R11|R15|R19|R20,15,Tier 1 — SAR immediate,False
C101208,R03_HIGH|R05_VPN|R08|R11|R15|R17|R18|R19|R20,14,Tier 1 — Hard alert,True
C102183,R02_LOW|R03_HIGH|R04|R10|R11|R17|R19|R20|R21,14,Tier 1 — Hard alert,True
C100716,R02_LOW|R04|R05_VPN|R11|R15|R17|R19|R20|R21,14,Tier 1 — Hard alert,True
C100138,R03_HIGH|R04|R11|R15|R17|R19|R20|R21,14,Tier 1 — Hard alert,True
C102111,R03_HIGH|R04|R05_TOR|R11|R19|R20|R21,14,Tier 1 — Hard alert,True
C100874,R03_HIGH|R04|R05_VPN|R11|R17|R19|R20|R21,14,Tier 1 — Hard alert,True
C101278,R03_HIGH|R05_VPN|R10|R11|R15|R17|R19|R20|R21,14,Tier 1 — Hard alert,True
C100374,R03_LOW|R04|R05_VPN|R11|R15|R17|R19|R20|R21,14,Tier 1 — Hard alert,True
C101577,R03_LOW|R04|R05_VPN|R11|R15|R17|R19|R20|R21,14,Tier 1 — Hard alert,True
C101344,R03_LOW|R04|R07|R11|R15|R17|R19|R20|R21,14,Tier 1 — Hard alert,True
C101858,R03_LOW|R04|R05_VPN|R11|R15|R17|R19|R20|R21,14,Tier 1 — Hard alert,True
C101652,R03_LOW|R04|R05_TOR|R10|R11|R17|R19|R20|R21,14,Tier 1 — Hard alert,True
C100864,R03_LOW|R04|R05_VPN|R11|R15|R17|R19|R20|R21,14,Tier 1 — Hard alert,True
C101530,R04|R05_VPN|R09|R10|R11|R19|R20|R21,14,Tier 1 — Hard alert,True
C101547,R01|R04|R05_VPN|R11|R17|R19|R20,14,Tier 1 — SAR immediate,False
C100302,R02_LOW|R04|R05_VPN|R11|R15|R17|R19|R20,14,Tier 1 — SAR immediate,False
C101863,R02_LOW|R03_LOW|R04|R05_TOR|R11|R17|R19|R20,14,Tier 1 — SAR immediate,False
C101378,R02_LOW|R03_LOW|R04|R05_TOR|R11|R17|R19|R20,14,Tier 1 — SAR immediate,False
C100384,R02_LOW|R03_HIGH|R04|R11|R15|R19|R20,14,Tier 1 — SAR immediate,False
C101508,R02_LOW|R04|R09|R10|R11|R17|R19|R20,14,Tier 1 — SAR immediate,False
C100433,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R19|R20,14,Tier 1 — SAR immediate,False
C100334,R02_LOW|R03_LOW|R04|R05_TOR|R11|R17|R19|R20,14,Tier 1 — SAR immediate,False
C100761,R02_LOW|R03_LOW|R04|R11|R15|R17|R18|R19|R20,14,Tier 1 — SAR immediate,False
C100027,R02_LOW|R04|R05_VPN|R06|R11|R17|R19|R20,14,Tier 1 — SAR immediate,False
C101776,R02_LOW|R04|R05_VPN|R11|R15|R18|R19|R20,14,Tier 1 — SAR immediate,False
C100828,R02_LOW|R03_LOW|R04|R05_TOR|R11|R17|R19|R20,14,Tier 1 — SAR immediate,False
C101975,R02_LOW|R03_HIGH|R04|R11|R15|R19|R20,14,Tier 1 — SAR immediate,False
C101190,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R17|R18|R20,14,Tier 1 — SAR immediate,False
C100579,R02_LOW|R03_LOW|R04|R05_TOR|R11|R17|R19|R20,14,Tier 1 — SAR immediate,False
C102200,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R19|R20,14,Tier 1 — SAR immediate,False
C102226,R02_LOW|R03_HIGH|R05_VPN|R11|R15|R17|R19|R20,14,Tier 1 — SAR immediate,False
C102266,R02_LOW|R03_LOW|R04|R05_TOR|R11|R17|R19|R20,14,Tier 1 — SAR immediate,False
C102038,R02_LOW|R03_HIGH|R04|R11|R17|R18|R19|R20,14,Tier 1 — SAR immediate,False
